path,category,confidence,margin,uncertain,🌌 Starlit Wonders,🌿 Wild Horizons,⏳ Time in Motion,🌆 Urban Glow,🌊 Ocean Whispers,🏞️ Liquid Cascades
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/dragon-head-mornington.jpg,🌊 Ocean Whispers,0.9707,0.9585,False,0.0037,0.0016,0.0122,0.0,0.9707,0.0119
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/elwood.jpg,⏳ Time in Motion,0.9887,0.9831,False,0.0031,0.0,0.9887,0.0056,0.0025,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/erskine-falls.jpg,🏞️ Liquid Cascades,0.9998,0.9996,False,0.0,0.0002,0.0,0.0,0.0,0.9998
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/flinders-blowhole.jpg,🌊 Ocean Whispers,0.5647,0.3615,False,0.2032,0.0447,0.1395,0.0007,0.5647,0.0471
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/flinders-in-february-sunset.jpg,🌆 Urban Glow,0.9161,0.8323,False,0.0,0.0,0.0839,0.9161,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/galicica-vidikovec.jpg,🌿 Wild Horizons,0.9879,0.9778,False,0.0014,0.9879,0.0004,0.0002,0.0101,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/george-bass-coastal-walk.jpg,🌊 Ocean Whispers,0.8428,0.7529,False,0.0033,0.0614,0.0899,0.0003,0.8428,0.0024
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/george-bass-walk.jpg,🌿 Wild Horizons,0.9406,0.9153,False,0.0114,0.9406,0.0253,0.0002,0.0223,0.0002
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/glasshouse-rocks-nsw copy.jpg,🌊 Ocean Whispers,0.7963,0.6622,False,0.0018,0.0039,0.1341,0.0,0.7963,0.0639
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/glasshouse-rocks-nsw.jpg,🌊 Ocean Whispers,0.9567,0.9198,False,0.0057,0.0007,0.0368,0.0,0.9567,0.0001
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/great-ocean-road-the-twelve-apostles.jpg,🌊 Ocean Whispers,0.9072,0.8275,False,0.0058,0.0796,0.0029,0.0002,0.9072,0.0043
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/hopetoun-falls-great-ocean-road.jpg,🏞️ Liquid Cascades,0.9919,0.9839,False,0.0,0.008,0.0,0.0,0.0,0.9919
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/hopetoun-falls-walk.jpg,🏞️ Liquid Cascades,0.9992,0.9987,False,0.0,0.0005,0.0002,0.0,0.0,0.9992
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/hopetoun-falls.jpg,🏞️ Liquid Cascades,0.9953,0.9905,False,0.0,0.0047,0.0,0.0,0.0,0.9953
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/keyhole-rock.jpg,🌊 Ocean Whispers,0.9897,0.9829,False,0.0005,0.0002,0.0068,0.0,0.9897,0.0028
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/kow-swamp.jpg,🌌 Starlit Wonders,0.9743,0.963,False,0.9743,0.0064,0.0114,0.0046,0.0032,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/lonely-tree.jpg,🌿 Wild Horizons,0.9171,0.8613,False,0.0206,0.9171,0.0559,0.0058,0.0003,0.0003
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/lord-arch-great-ocean-road.jpg,🏞️ Liquid Cascades,0.452,0.124,False,0.0049,0.1711,0.044,0.0,0.328,0.452
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-batman-avenue.jpg,🌆 Urban Glow,0.9378,0.8756,False,0.0,0.0,0.0622,0.9378,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-blue-hour-bridge.jpg,🌆 Urban Glow,0.9998,0.9996,False,0.0,0.0,0.0002,0.9998,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-city-sunset-view.jpg,🌆 Urban Glow,0.9564,0.9136,False,0.0005,0.0427,0.0004,0.9564,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-city.jpg,🌆 Urban Glow,0.9594,0.9188,False,0.0,0.0,0.0406,0.9594,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-docklands-from-above.jpg,🌆 Urban Glow,0.9925,0.9851,False,0.0,0.0,0.0075,0.9925,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/melbourne-in-autumn.jpg,🌆 Urban Glow,0.9999,0.9997,False,0.0,0.0,0.0001,0.9999,0.0,0.0
